id,band_gap
mp-1027335,1.2043
mp-1027132,0.268899999999999
mp-1028857,0.3644
mp-1029532,0
mp-1036771,1.6334
mp-1027524,0.679
mp-1038204,4.46
mp-1039828,1.51079999999999
mp-10405,0
mp-1037160,0.1507
mp-10474,7.02549999999999
mp-10601,0.0887
mp-1065577,3.25829999999999
mp-1071438,0
mp-1073950,0
mp-1076401,0
mp-1078427,0
mp-1079064,0
mp-1079248,2.6032
mp-1079257,0
mp-1079672,0
mp-1080222,0.5596
mp-1080372,0.178599999999999
mp-1080561,0
mp-1076896,0.0053
mp-1092225,0
mp-1093733,0
mp-1093889,0.5503
mp-1093830,0
mp-1093990,0
mp-1094898,0
mp-1094978,0
mp-1095073,0
mp-1093949,0.016
mp-1095825,0
mp-1096484,0.0007
mp-1096494,0
mp-1096826,0
mp-1096894,0
mp-1096988,0
mp-1097492,1.0787
mp-1097616,0.2329
mp-1098241,0
mp-1099334,0
mp-1100622,0
mp-1101164,1.95719999999999
mp-1101724,1.7871
mp-1102345,0
mp-11025,1.46619999999999
mp-1105985,0
mp-1106359,3.78629999999999
mp-1111178,2.1942
mp-1111285,0.9897
mp-1111198,0
mp-1112116,1.5141
mp-1112230,2.14269999999999
mp-1112498,1.72929999999999
mp-11278,0
mp-1120766,2.72989999999999
mp-11653,6.99839999999999
mp-1175325,0.955699999999999
mp-1175378,0.9367
mp-1174736,0
mp-1176063,0
mp-1176188,0.047
mp-1175803,0
mp-1176431,0.212
mp-1177211,0.1521
mp-1177697,0
mp-1178085,2.3197
mp-1178491,2.4102
mp-1178808,0
mp-11816,0
mp-1181748,0.3795
mp-1180831,0.422699999999999
mp-1183245,0
mp-1183405,0
mp-1183831,0
mp-1184022,0
mp-1184106,0
mp-1184199,0
mp-1184304,0
mp-1184337,0.362199999999999
mp-1184655,0
mp-1184693,0
mp-1185406,0
mp-1186156,0
mp-1186281,0
mp-1186416,0
mp-1186645,0
mp-1186743,0
mp-1187027,0
mp-1187948,0
mp-1187974,0
mp-1188095,1.1473
mp-11882,0
mp-1189200,1.76129999999999
mp-1189906,2.1014
mp-1190617,0
mp-1191681,0
mp-1191745,0
mp-1192040,2.5435
mp-1192074,0
mp-1192256,0
mp-1193326,0.5192
mp-1193413,3.8552
mp-1193478,0.5259
mp-1194507,0
mp-1194587,3.117
mp-1194817,0
mp-1194939,0.438399999999999
mp-1195404,0
mp-1182792,0.065
mp-1195817,1.8414
mp-1195845,4.2678
mp-1196062,2.6102
mp-1196315,0
mp-1196469,3.5384
mp-1196713,0.7484
mp-1196714,6.3752
mp-1197298,2.2937
mp-1197652,1.7767
mp-1198234,4.0368
mp-1198721,2.5372
mp-1200526,0.013
mp-1202545,0.5598
mp-1202658,2.3141
mp-1203172,0
mp-1203923,0
mp-1203998,4.7303
mp-1204360,0
mp-1204558,0.4695
mp-1204597,0
mp-1204652,0.436699999999999
mp-1195524,3.6496
mp-1204886,0.7151
mp-1206190,0.4128
mp-1206472,1.0822
mp-1207168,0
mp-1207428,0
mp-1207430,0
mp-1208303,0
mp-1208424,2.5242
mp-1208797,0.143799999999999
mp-1208971,0
mp-1208980,5.5351
mp-1209082,4.3416
mp-1209289,4.3854
mp-1209614,0
mp-1209528,1.1285
mp-1210529,4.2115
mp-1211984,0
mp-1209859,4.3671
mp-1212485,1.3768
mp-1212434,1.015
mp-1212867,1.2121
mp-1213339,0
mp-1213670,0
mp-1215426,0
mp-1215649,0
mp-1214500,2.0776
mp-1215953,0
mp-1216876,0
mp-1216901,0
mp-1217291,0.673299999999999
mp-1217301,0
mp-1217570,0
mp-1217757,1.5764
mp-1217997,0
mp-1218370,4.6324
mp-1218717,0
mp-1218255,0
mp-1218965,0
mp-1219010,0
mp-1219196,0
mp-1218901,0.0343
mp-1219473,0.2049
mp-1219548,2.6129
mp-1219786,0
mp-1220428,0
mp-1220477,0
mp-1220983,1.18479999999999
mp-1221452,0
mp-1221806,4.3867
mp-1221605,3.8525
mp-1222163,3.10119999999999
mp-1222410,0
mp-1222440,0
mp-1222785,0
mp-1223092,3.6191
mp-1222995,0
mp-1223097,2.55879999999999
mp-1223101,0
mp-1223133,0.0078
mp-1223242,0
mp-1223472,0
mp-1223759,3.04089999999999
mp-1224538,3.8503
mp-1224945,0
mp-1224770,0
mp-1225809,0
mp-1224991,0.116099999999999
mp-1226125,4.7017
mp-1226241,0
mp-1226907,0
mp-1226352,0
mp-1227428,0.0247
mp-1227598,4.3055
mp-1227711,3.254
mp-1228193,4.019
mp-1245833,0
mp-1245948,0.0376
mp-1246043,0
mp-1246055,0.299999999999999
mp-1246229,0
mp-1246129,1.67649999999999
mp-1246341,0.0783
mp-1246441,0
mp-1246491,0
mp-1248557,0
mp-1247562,0
mp-1264900,1.54159999999999
mp-13203,0
mp-1261131,2.7733
mp-1444,0
mp-16565,0.1728
mp-16783,0
mp-13379,0
mp-17914,2.5387
mp-17701,2.299
mp-18695,0
mp-19259,3.5441
mp-18075,4.6338
mp-19854,0
mp-20831,0
mp-21167,0
mp-21205,0
mp-21499,0
mp-19334,3.8093
mp-21681,0
mp-21657,0
mp-22181,0
mp-22441,0
mp-22638,2.1542
mp-22648,0
mp-23183,4.2997
mp-21689,0
mp-24624,2.9045
mp-25457,2.4597
mp-24303,5.4068
mp-26819,3.46849999999999
mp-27805,2.8128
mp-28278,1.6256
mp-28433,5.4971
mp-2874,2.70649999999999
mp-28875,1.1841
mp-28904,3.1228
mp-29095,5.7308
mp-29157,0.5757
mp-29185,3.39119999999999
mp-29324,0
mp-29812,0.263599999999999
mp-29947,1.1056
mp-30307,0
mp-30449,0
mp-31381,0
mp-31557,2.9428
mp-32672,0.003500000000001
mp-3328,0
mp-40143,4.8767
mp-4815,0
mp-504350,0
mp-504957,1.0283
mp-505219,0.0957
mp-505820,0
mp-510517,2.43349999999999
mp-530728,2.53249999999999
mp-552234,3.1656
mp-554116,3.7525
mp-555507,6.4233
mp-555776,3.9435
mp-555981,0
mp-556766,3.7578
mp-5571,0
mp-557687,3.4896
mp-557798,6.4524
mp-558224,3.21069999999999
mp-558950,0.498499999999999
mp-559330,5.2063
mp-559577,1.7426
mp-560230,0
mp-560363,3.1118
mp-560544,1.6195
mp-567912,0
mp-568191,1.1541
mp-568328,0.903
mp-569360,0.2281
mp-569533,2.0883
mp-569834,0
mp-570457,0
mp-570480,0.6025
mp-570482,0
mp-570687,0.9324
mp-5757,0
mp-582024,2.3072
mp-620069,0.9308
mp-626851,1.8555
mp-6289,3.7373
mp-631352,0
mp-632,0
mp-641353,0
mp-641651,0
mp-26009,1.01339999999999
mp-653697,0
mp-654447,1.95709999999999
mp-6583,0
mp-662804,0
mp-667471,4.1303
mp-672345,0
mp-673119,3.7475
mp-674993,3.38429999999999
mp-676448,3.14739999999999
mp-680086,0.0041
mp-680286,2.0266
mp-685157,1.47099999999999
mp-685607,0.0872
mp-695967,0
mp-696590,4.8039
mp-696630,2.4713
mp-645425,0
mp-697807,1.7853
mp-698158,1.8853
mp-698410,1.414
mp-7204,2.6853
mp-707490,0.5962
mp-720519,0
mp-734377,4.4116
mp-744690,0.158499999999999
mp-744767,0
mp-752662,0
mp-752841,3.2136
mp-752868,1.27329999999999
mp-753568,2.2922
mp-753647,2.4928
mp-753895,0.591299999999999
mp-754714,3.32789999999999
mp-755188,3.24559999999999
mp-754437,0
mp-755475,1.15429999999999
mp-756172,0
mp-755198,1.7368
mp-756649,0
mp-756693,0
mp-756494,4.2445
mp-757444,0.0027
mp-756882,0.9856
mp-757458,0
mp-757464,0.1799
mp-758065,2.598
mp-758069,0
mp-757643,2.18989999999999
mp-758641,0.0387
mp-758961,1.3159
mp-759250,0
mp-760972,0.7691
mp-759782,0
mp-763740,2.961
mp-764497,0
mp-765091,0.0746
mp-766575,2.6639
mp-767401,2.2487
mp-761040,1.0079
mp-767633,1.8429
mp-768459,0
mp-768814,3.402
mp-768908,0.5838
mp-769405,0
mp-770997,4.1342
