id,ehull
mp-1028510,0.127
mp-1028512,0.138
mp-1028514,0.125
mp-1028517,0.197
mp-1028525,0.16
mp-1028526,0.096
mp-1028528,0.21
mp-1028531,0.199
mp-1028535,0.148
mp-1028539,0.098
mp-1028541,0.095
mp-1028542,0.132
mp-1028544,0.109
mp-1028558,0.01
mp-1028570,0.181
mp-1028576,0.019
mp-1028583,0.059
mp-1028586,0.025
mp-1028589,0.043
mp-1028590,0.073
mp-1028592,0.071
mp-1028594,0.013
mp-1028595,0.078
mp-1028597,0.117
mp-1028598,0.042
mp-1028604,0.096
mp-1028607,0.104
mp-1028621,0.09
mp-1028622,0.124
mp-1028626,0.111
mp-1028635,0.141
mp-1028642,0.073
mp-1028643,0.103
mp-1028651,0.126
mp-1028653,0.085
mp-1028654,0.085
mp-1028663,0.014
mp-1028668,0.186
mp-1028674,0.111
mp-1028683,0.12
mp-1028686,0.011
mp-1028689,0.092
mp-1028690,0.096
mp-1028694,0.091
mp-1028698,0.0
mp-1028704,0.12
mp-1028708,0.076
mp-1028709,0.161
mp-1028728,0.182
mp-1028729,0.119
mp-1028730,0.085
mp-1028731,0.1
mp-1028732,0.074
mp-1028743,0.12
mp-1028748,0.161
mp-1028749,0.043
mp-1028755,0.083
mp-1028761,0.096
mp-1028762,0.1
mp-1028764,0.015
mp-1028765,0.197
mp-1028767,0.108
mp-1028768,0.104
mp-1028769,0.011
mp-1028771,0.074
mp-1028772,0.015
mp-1028791,0.125
mp-1028812,0.124
mp-1028821,0.119
mp-1028823,0.063
mp-1028825,0.092
mp-1028826,0.077
mp-1028827,0.162
mp-1028828,0.098
mp-1028830,0.079
mp-1028832,0.093
mp-1028843,0.053
mp-1028848,0.162
mp-1028850,0.181
mp-1028851,0.105
mp-1028855,0.093
mp-1028857,0.112
mp-1028869,0.083
mp-1028873,0.12
mp-1028881,0.211
mp-1028887,0.12
mp-1028901,0.197
mp-1028910,0.091
mp-1028911,0.161
mp-1028912,0.074
mp-1028917,0.051
mp-1028919,0.118
mp-1028922,0.089
mp-1028930,0.077
mp-1028931,0.097
mp-1028932,0.088
mp-1028939,0.104
mp-1028947,0.075
mp-1028948,0.104
mp-1028951,0.182
mp-1028952,0.073
mp-1028959,0.104
mp-1028971,0.181
mp-1028975,0.117
mp-1028976,0.089
mp-1028978,0.125
mp-1028979,0.109
mp-1028980,0.09
mp-1028985,0.07
